"SATISFIED ORDERS","Order Id","PC Product Id","Quantity","Profit","Discount","Net Profit"
"",416,8,1,512.5,180,692.5
"",407,10,1,1151.5,180,1331.5
"",363,9,1,877.5,180,1057.5
"",369,9,1,562.5,180,742.5
"",347,8,2,1681,360,2041
"",359,4,1,1484,0,1484
"",398,4,1,1431,0,1431
"",344,10,2,2820,360,3180
"",289,8,3,2890.5,540,3430.5
"",452,10,3,2467.5,540,3007.5
"",409,0,2,2665,360,3025
"",338,8,4,4346,720,5066
"",430,8,4,4346,720,5066
"",318,4,2,1908,0,1908
"",428,1,2,3285,360,3645
"",457,1,2,2115,360,2475
"",370,1,2,1890,360,2250
"",288,1,2,1665,360,2025
"",418,2,2,1485,360,1845
"",384,10,5,8577.5,900,9477.5
"",366,8,6,4182,1080,5262
"",378,10,5,7755,900,8655
"",305,1,3,4657.5,540,5197.5
"",383,10,6,7191,1080,8271
"",390,6,3,2223,0,2223
"",306,4,4,7314,0,7314
"",340,10,9,14170.5,1620,15790.5
"",341,10,9,10575,1620,12195
"",316,8,11,6765,1980,8745
"",429,11,8,13536,1440,14976
"",309,1,5,8100,900,9000
"",454,2,5,7987.5,900,8887.5
"",431,7,4,6100,0,6100
"",389,8,13,13058.5,2340,15398.5
"",349,10,10,7050,1800,8850
"",335,8,14,14063,2520,16583
"",367,10,12,8178,2160,10338
"",361,6,6,8550,0,8550
"",401,1,6,3375,1080,4455
"",434,4,7,5936,0,5936
"",447,8,19,26096.5,3420,29516.5
"",458,8,17,13591.5,3060,16651.5
"",446,9,13,8190,2340,10530
"",461,8,20,28700,3600,32300
"",287,9,14,13860,2520,16380
"",386,6,7,10573.5,0,10573.5
"",282,1,7,5355,1260,6615
"",320,3,6,5586,1080,6666
"",281,1,8,9720,1440,11160
"",451,3,7,12005,1260,13265
"",433,3,7,10118.5,1260,11378.5
"",414,2,9,13567.5,1620,15187.5
"",403,10,16,14664,2880,17544
"",310,3,7,9775.5,1260,11035.5
"",460,2,9,12555,1620,14175
"",426,6,9,17955,0,17955
"",339,8,24,30504,4320,34824
"",333,11,14,15463,2520,17983
"",371,4,9,6439.5,0,6439.5
"",373,8,22,19393,3960,23353
"",444,3,8,14308,1440,15748
"",422,9,19,26932.5,3420,30352.5
"",294,8,27,40959,4860,45819
"",448,0,13,17056,2340,19396
"",346,1,9,8910,1620,10530
"",395,8,26,33579,4680,38259
"",296,1,10,14175,1800,15975
"",343,6,10,20235,0,20235
"",455,10,22,38258,3960,42218
"",402,4,13,25148.5,0,25148.5
"",331,0,13,14124.5,2340,16464.5
"",424,0,12,9594,2160,11754
"",445,10,22,33605,3960,37565
"",307,4,10,6625,0,6625
"",295,1,11,16335,1980,18315
"",400,10,23,34051.5,4140,38191.5
"",330,0,16,23616,2880,26496
"",364,7,8,10248,0,10248
"",284,10,24,37788,4320,42108
"",322,11,17,15181,3060,18241
"",292,8,29,28536,5220,33756
"",302,10,20,12220,3600,15820
"",304,7,10,20435,0,20435
"",348,7,10,20435,0,20435
"",356,10,21,15792,3780,19572
"",311,8,28,21812,5040,26852
"",406,9,22,19800,3960,23760
"",350,10,21,14805,3780,18585
"",388,1,13,19012.5,2340,21352.5
"",379,0,15,14145,2700,16845
"",440,1,12,13770,2160,15930
