"SATISFIED ORDERS","Order Id","PC Product Id","Quantity","Profit","Discount","Net Profit"
"",252,10,2,2068,360,2428
"",183,10,2,1175,360,1535
"",180,8,3,2275.5,540,2815.5
"",168,8,3,1783.5,540,2323.5
"",273,9,3,4522.5,540,5062.5
"",245,8,5,6970,900,7870
"",205,10,4,5828,720,6548
"",200,8,5,4407.5,900,5307.5
"",274,10,5,6462.5,900,7362.5
"",173,10,5,4230,900,5130
"",159,9,5,3037.5,900,3937.5
"",207,10,6,10293,1080,11373
"",174,9,6,9585,1080,10665
"",187,8,8,7052,1440,8492
"",218,10,7,10857,1260,12117
"",309,9,7,10237.5,1260,11497.5
"",296,8,11,12402.5,1980,14382.5
"",264,9,9,11542.5,1620,13162.5
"",201,9,9,8707.5,1620,10327.5
"",178,9,9,7087.5,1620,8707.5
"",311,10,10,15745,1800,17545
"",265,10,10,13395,1800,15195
"",256,10,10,12455,1800,14255
"",186,8,14,10332,2520,12852
"",203,8,17,10455,3060,13515
"",298,10,16,26696,2880,29576
"",293,11,12,11280,2160,13440
"",310,11,13,18635.5,2340,20975.5
"",185,9,15,10125,2700,12825
"",259,9,15,9787.5,2700,12487.5
"",297,8,19,10516.5,3420,13936.5
"",160,8,24,28044,4320,32364
"",204,8,27,39298.5,4860,44158.5
"",291,8,25,29725,4500,34225
"",216,10,17,9987.5,3060,13047.5
"",251,8,29,42209.5,5220,47429.5
"",290,9,20,23850,3600,27450
"",162,9,21,27405,3780,31185
"",270,8,27,24907.5,4860,29767.5
"",182,9,22,25245,3960,29205
"",284,9,25,34312.5,4500,38812.5
"",230,9,28,44100,5040,49140
"",302,10,24,24252,4320,28572
"",228,10,27,38070,4860,42930
"",190,10,29,47023.5,5220,52243.5
"",164,9,25,25312.5,4500,29812.5
"",280,9,26,28665,4680,33345
"",253,11,22,26367,3960,30327
"",222,9,27,18832.5,4860,23692.5
"",202,10,30,28905,5400,34305
"",261,11,29,40208.5,5220,45428.5
"",169,11,28,34874,5040,39914
"",165,11,28,34216,5040,39256
"",215,11,29,30667.5,5220,35887.5
"",229,11,30,17625,5400,23025
"",254,4,21,40624.5,0,40624.5
"",220,12,24,45792,0,45792
"",167,12,5,9275,0,9275
"",257,12,23,40836.5,0,40836.5
"",307,4,2,3498,0,3498
"",250,13,23,47851.5,0,47851.5
"",277,14,25,52012.5,0,52012.5
"",171,5,1,2080.5,0,2080.5
"",184,1,3,4927.5,0,4927.5
"",232,5,9,17698.5,0,17698.5
"",268,12,22,35563,0,35563
"",170,13,13,25194,0,25194
"",305,13,8,15276,0,15276
"",285,14,13,24823.5,0,24823.5
"",172,14,10,18810,0,18810
"",189,14,13,24082.5,0,24082.5
"",269,4,9,13833,0,13833
"",258,6,1,1824,0,1824
"",262,14,16,28728,0,28728
"",248,0,6,7134,0,7134
"",238,5,25,44175,0,44175
"",282,5,14,24738,0,24738
"",266,0,27,31549.5,0,31549.5
"",235,2,12,17280,0,17280
"",213,12,4,5724,0,5724
"",244,7,3,5947.5,0,5947.5
"",206,3,19,32119.5,0,32119.5
"",241,5,26,43719,0,43719
"",233,2,22,30690,0,30690
"",287,1,11,15345,0,15345
"",176,14,27,44631,0,44631
"",286,13,5,8265,0,8265
"",158,6,17,27132,0,27132
"",223,6,1,1596,0,1596
"",193,2,8,10620,0,10620
"",236,1,2,2655,0,2655
"",179,3,5,7840,0,7840
"",163,3,29,45472,0,45472
"",263,3,27,42336,0,42336
"",231,3,8,12348,0,12348
"",247,13,15,23085,0,23085
"",219,3,16,24304,0,24304
"",243,5,26,39273,0,39273
"",260,3,28,41846,0,41846
"",227,5,25,37050,0,37050
"",195,7,11,18788,0,18788
"",242,3,2,2891,0,2891
"",278,12,22,26235,0,26235
"",224,5,1,1396.5,0,1396.5
"",198,5,3,4104,0,4104
"",217,4,5,5697.5,0,5697.5
"",281,4,16,18232,0,18232
"",271,4,15,17092.5,0,17092.5
"",234,0,13,11726,0,11726
"",301,4,25,27825,0,27825
"",209,2,5,5512.5,0,5512.5
"",308,3,4,5194,0,5194
"",303,13,21,26932.5,0,26932.5
"",239,0,7,5883.5,0,5883.5
"",208,2,4,4140,0,4140
"",275,2,15,15525,0,15525
"",188,6,10,11685,0,11685
"",177,2,16,15480,0,15480
"",304,1,9,8707.5,0,8707.5
"",199,1,2,1935,0,1935
"",161,3,6,6909,0,6909
"",214,14,4,4560,0,4560
"",194,2,2,1890,0,1890
"",292,7,22,28853,0,28853
"",191,4,19,17622.5,0,17622.5
"",295,6,13,14449.5,0,14449.5
"",294,3,7,7717.5,0,7717.5
"",306,14,8,8664,0,8664
"",175,5,18,19494,0,19494
"",272,6,30,32490,0,32490
"",289,14,4,4332,0,4332
"",279,4,11,9619.5,0,9619.5
"TOTALS","","","",2.47524e+06,159120,2.59402e+06


"CANCELLED ORDERS","Order Id","PC Product Id","Quantity","Total Profit","Cancellation Cost"
"",255,1,21,18900,1984.5
"",221,3,11,11319,1148.07
"",192,14,28,28728,3255.84
"",249,14,13,13338,1511.64
"",267,3,9,9040.5,932.715
"",240,3,8,7840,823.2
