"SATISFIED ORDERS","Order Id","PC Product Id","Quantity","Profit","Discount","Net Profit"
"",336,7,1,1677.5,270,1947.5
"",364,9,1,1327.5,0,1327.5
"",281,9,1,1305,0,1305
"",338,9,1,652.5,0,652.5
"",444,0,3,2706,540,3246
"",426,6,2,3192,540,3732
"",415,6,2,2052,540,2592
"",333,8,2,2460,0,2460
"",413,3,4,2842,720,3562
"",417,1,5,5962.5,900,6862.5
"",348,5,4,4560,1080,5640
"",295,1,5,3712.5,900,4612.5
"",324,1,5,3037.5,900,3937.5
"",442,2,6,9855,1080,10935
"",421,10,3,4230,0,4230
"",464,1,6,8100,1080,9180
"",306,3,5,3920,900,4820
"",391,8,4,4018,0,4018
"",371,6,5,4702.5,1350,6052.5
"",287,5,5,4275,1350,5625
"",430,0,9,8118,1620,9738
"",292,5,6,11286,1620,12906
"",300,3,6,7350,1080,8430
"",408,7,5,7320,1350,8670
"",438,5,6,9576,1620,11196
"",366,3,6,6174,1080,7254
"",419,11,3,2820,0,2820
"",299,8,5,6355,0,6355
"",428,1,8,9540,1440,10980
"",326,8,5,3177.5,0,3177.5
"",440,9,4,3150,0,3150
"",414,8,5,2665,0,2665
"",286,5,7,9376.5,1890,11266.5
"",340,8,6,8733,0,8733
"",403,2,9,10530,1620,12150
"",343,6,7,5985,1890,7875
"",445,1,9,8302.5,1620,9922.5
"",345,3,8,13916,1440,15356
"",461,2,10,16425,1800,18225
"",347,1,10,15300,1800,17100
"",353,1,10,14400,1800,16200
"",332,6,8,13224,2160,15384
"",435,5,8,12540,2160,14700
"",359,4,10,16165,2700,18865
"",316,8,7,8179.5,0,8179.5
"",382,8,7,7892.5,0,7892.5
"",362,2,11,12375,1980,14355
"",441,8,7,6601,0,6601
"",432,7,8,13176,2160,15336
"",399,1,12,14850,2160,17010
"",289,7,9,20038.5,2430,22468.5
"",285,0,17,22652.5,3060,25712.5
"",424,11,5,4465,0,4465
"",356,4,14,25228,3780,29008
"",447,0,16,12464,2880,15344
"",330,1,13,12870,2340,15210
"",297,10,7,7402.5,0,7402.5
"",360,10,8,13912,0,13912
"",397,0,17,11849,3060,14909
"",459,10,7,6415.5,0,6415.5
"",334,7,10,13420,2700,16120
"",305,0,22,31570,3960,35530
"",328,7,11,20465.5,2970,23435.5
"",386,1,14,7875,2520,10395
"",367,6,13,20007,3510,23517
"",418,5,12,12654,3240,15894
"",458,4,17,27030,4590,31620
"",427,7,11,16775,2970,19745
"",308,1,15,10800,2700,13500
"",309,9,8,5220,0,5220
"",450,0,24,28044,4320,32364
"",451,10,10,15275,0,15275
"",431,2,20,29700,3600,33300
"",320,2,17,13387.5,3060,16447.5
"",378,3,16,25088,2880,27968
"",319,8,13,16523,0,16523
"",380,4,22,41976,5940,47916
"",317,10,11,17836.5,0,17836.5
"",369,4,19,23664.5,5130,28794.5
"",335,1,22,30195,3960,34155
"",339,2,20,17550,3600,21150
"",298,7,13,12291.5,3510,15801.5
"",323,2,23,31567.5,4140,35707.5
"",387,6,18,26676,4860,31536
"",307,4,22,27984,5940,33924
"",429,5,19,30865.5,5130,35995.5
"",388,1,22,23265,3960,27225
"",314,4,27,49369.5,7290,56659.5
"",466,5,16,13224,4320,17544
"",443,3,19,26068,3420,29488
"",284,1,20,12150,3600,15750
"",401,10,12,14664,0,14664
"",301,2,25,33187.5,4500,37687.5
"",312,3,20,27930,3600,31530
"",315,0,27,17158.5,4860,22018.5
"",368,4,22,22154,5940,28094
"",384,2,26,35685,4680,40365
"",321,8,15,12915,0,12915
"",405,11,9,7402.5,0,7402.5
"",327,1,30,49275,5400,54675
"",358,9,13,15502.5,0,15502.5
"",349,4,29,45341.5,7830,53171.5
"",374,6,19,18411,5130,23541
"",355,8,18,19188,0,19188
"",303,1,30,41175,5400,46575
"",434,7,18,25254,4860,30114
"",462,4,26,28249,7020,35269
"",460,4,29,39962,7830,47792
"",290,9,17,27922.5,0,27922.5
"",318,3,19,11637.5,3420,15057.5
"",331,2,28,30240,5040,35280
"",288,5,27,49248,7290,56538
